name,location,gender,purpose,beds,timestamp
Cygnet Storthfield House,Unknown,Male,Unknown,4,2024-07-17 18:47:14
Cygnet Hospital Derby,Unknown,Male,Unknown,4,2024-07-17 18:47:14
Cygnet Hospital Kewstoke,Unknown,Male,Unknown,4,2024-07-17 18:47:14
Cygnet St Augustine’s,Unknown,Male,Unknown,4,2024-07-17 18:47:14
Cygnet Delfryn House,Unknown,Male,Unknown,4,2024-07-17 18:47:14
Cygnet Hospital Colchester,Unknown,Male,Unknown,3,2024-07-17 18:47:14
Cygnet Fountains,Unknown,Male,Unknown,3,2024-07-17 18:47:14
Cygnet Oaks,Unknown,Male,Unknown,2,2024-07-17 18:47:14
Gledholt Mews and Coach House,Unknown,Male,Unknown,2,2024-07-17 18:47:14
Cygnet Hospital Maidstone,Unknown,Male,Unknown,2,2024-07-17 18:47:14
1 Vincent Court,Unknown,Male,Unknown,2,2024-07-17 18:47:14
15 The Sycamores,Unknown,Male,Unknown,2,2024-07-17 18:47:14
12 Woodcross Street,Unknown,Male,Unknown,1,2024-07-17 18:47:14
20A and 20B Turls Hill Road,Unknown,Male,Unknown,1,2024-07-17 18:47:14
Cygnet Lodge Woking,Unknown,Male,Unknown,1,2024-07-17 18:47:14
Cygnet Hospital Bury,Unknown,Male,Unknown,1,2024-07-17 18:47:14
Cygnet Hospital Clifton,Unknown,Male,Unknown,1,2024-07-17 18:47:14
Cygnet Hospital Wyke,Unknown,Male,Unknown,3,2024-07-17 18:47:14
Cygnet Hospital Stevenage,Unknown,Male,Unknown,2,2024-07-17 18:47:14
Cygnet Hospital Sherwood,Unknown,Male,Unknown,2,2024-07-17 18:47:14
Cygnet Hospital Taunton,Unknown,Male,Unknown,1,2024-07-17 18:47:14
Cygnet Hospital Blackheath,Unknown,Male,Unknown,1,2024-07-17 18:47:14
Cygnet Lodge Kenton,Unknown,Female,Unknown,3,2024-07-17 18:47:14
Cygnet Aspen House,Unknown,Female,Unknown,3,2024-07-17 18:47:14
Ty Alarch,Unknown,Female,Unknown,2,2024-07-17 18:47:14
Cygnet St Teilo House,Unknown,Female,Unknown,2,2024-07-17 18:47:14
Cygnet Delfryn Lodge,Unknown,Female,Unknown,2,2024-07-17 18:47:14
Cygnet Hospital Beckton,Unknown,Female,Unknown,4,2024-07-17 18:47:14
Cygnet Maple House,Unknown,Female,Unknown,4,2024-07-17 18:47:14
Cygnet Hospital Maidstone,Unknown,Female,Unknown,2,2024-07-17 18:47:14
Cygnet Acer Clinic,Unknown,Female,Unknown,1,2024-07-17 18:47:14
Cygnet Hospital Godden Green,Unknown,Female,Unknown,3,2024-07-17 18:47:14
Cygnet Appletree,Unknown,Female,Unknown,3,2024-07-17 18:47:14
Cygnet Hospital Woking,Unknown,Female,Unknown,2,2024-07-17 18:47:14
Cygnet Hospital Taunton,Unknown,Female,Unknown,2,2024-07-17 18:47:14
Cygnet Hospital Hexham,Unknown,Female,Unknown,2,2024-07-17 18:47:14
Cygnet Hospital Stevenage,Unknown,Female,Unknown,1,2024-07-17 18:47:14
Cygnet Hospital Kewstoke,Unknown,Female,Unknown,1,2024-07-17 18:47:14
Cygnet Hospital Bierley,Unknown,Female,Unknown,1,2024-07-17 18:47:14
Cygnet Storthfield House,Unknown,Male,Unknown,4,2024-07-17 18:47:03
Cygnet Hospital Derby,Unknown,Male,Unknown,4,2024-07-17 18:47:03
Cygnet Hospital Kewstoke,Unknown,Male,Unknown,4,2024-07-17 18:47:03
Cygnet St Augustine’s,Unknown,Male,Unknown,4,2024-07-17 18:47:03
Cygnet Delfryn House,Unknown,Male,Unknown,4,2024-07-17 18:47:03
Cygnet Hospital Colchester,Unknown,Male,Unknown,3,2024-07-17 18:47:03
Cygnet Fountains,Unknown,Male,Unknown,3,2024-07-17 18:47:03
Cygnet Oaks,Unknown,Male,Unknown,2,2024-07-17 18:47:03
Gledholt Mews and Coach House,Unknown,Male,Unknown,2,2024-07-17 18:47:03
Cygnet Hospital Maidstone,Unknown,Male,Unknown,2,2024-07-17 18:47:03
1 Vincent Court,Unknown,Male,Unknown,2,2024-07-17 18:47:03
15 The Sycamores,Unknown,Male,Unknown,2,2024-07-17 18:47:03
12 Woodcross Street,Unknown,Male,Unknown,1,2024-07-17 18:47:03
20A and 20B Turls Hill Road,Unknown,Male,Unknown,1,2024-07-17 18:47:03
Cygnet Lodge Woking,Unknown,Male,Unknown,1,2024-07-17 18:47:03
Cygnet Lodge Kenton,Unknown,Female,Unknown,3,2024-07-17 18:47:03
Cygnet Aspen House,Unknown,Female,Unknown,3,2024-07-17 18:47:03
Ty Alarch,Unknown,Female,Unknown,2,2024-07-17 18:47:03
Cygnet St Teilo House,Unknown,Female,Unknown,2,2024-07-17 18:47:03
Cygnet Delfryn Lodge,Unknown,Female,Unknown,2,2024-07-17 18:47:03
