name,location,gender,purpose,beds,timestamp
Cygnet Storthfield House,Unknown,Male,Unknown,4,2024-07-17 16:52:51.473008
Cygnet Hospital Derby,Unknown,Male,Unknown,4,2024-07-17 16:52:51.473008
Cygnet Hospital Kewstoke,Unknown,Male,Unknown,4,2024-07-17 16:52:51.473008
Cygnet St Augustine’s,Unknown,Male,Unknown,4,2024-07-17 16:52:51.473008
Cygnet Delfryn House,Unknown,Male,Unknown,4,2024-07-17 16:52:51.473008
Cygnet Hospital Colchester,Unknown,Male,Unknown,3,2024-07-17 16:52:51.473008
Cygnet Fountains,Unknown,Male,Unknown,3,2024-07-17 16:52:51.473008
Cygnet Oaks,Unknown,Male,Unknown,2,2024-07-17 16:52:51.473008
Gledholt Mews and Coach House,Unknown,Male,Unknown,2,2024-07-17 16:52:51.473008
Cygnet Hospital Maidstone,Unknown,Male,Unknown,2,2024-07-17 16:52:51.473008
1 Vincent Court,Unknown,Male,Unknown,2,2024-07-17 16:52:51.473008
15 The Sycamores,Unknown,Male,Unknown,2,2024-07-17 16:52:51.473008
12 Woodcross Street,Unknown,Male,Unknown,1,2024-07-17 16:52:51.473008
20A and 20B Turls Hill Road,Unknown,Male,Unknown,1,2024-07-17 16:52:51.473008
Cygnet Lodge Woking,Unknown,Male,Unknown,1,2024-07-17 16:52:51.473008
Cygnet Lodge Kenton,Unknown,Female,Unknown,3,2024-07-17 16:52:51.473008
Cygnet Aspen House,Unknown,Female,Unknown,3,2024-07-17 16:52:51.473008
Ty Alarch,Unknown,Female,Unknown,2,2024-07-17 16:52:51.473008
Cygnet St Teilo House,Unknown,Female,Unknown,2,2024-07-17 16:52:51.473008
Cygnet Delfryn Lodge,Unknown,Female,Unknown,2,2024-07-17 16:52:51.473008
