Name,Sex,Number of Beds,Purpose,Date,Time
Cygnet Lodge Salford,Female,5,Rehab,2024-09-17,10:17:18
Cygnet Hospital Derby,Male,4,Rehab,2024-09-17,10:17:18
Cygnet Hospital Kewstoke,Male,4,Rehab,2024-09-17,10:17:18
Cygnet Delfryn House,Male,4,Rehab,2024-09-17,10:17:18
Cygnet Fountains,Male,4,Rehab,2024-09-17,10:17:18
Cygnet St Augustine’s,Male,4,Rehab,2024-09-17,10:17:18
Cygnet Storthfield House,Male,4,Rehab,2024-09-17,10:17:18
Cygnet Hospital Maidstone,Male,3,Rehab,2024-09-17,10:17:18
Cygnet Oaks,Male,3,Rehab,2024-09-17,10:17:18
Cygnet Sherwood House,Male,3,Rehab,2024-09-17,10:17:18
Cygnet Lodge Kenton,Female,2,Rehab,2024-09-17,10:17:18
Ty Alarch,Female,2,Rehab,2024-09-17,10:17:18
Cygnet Churchill,Male,2,Rehab,2024-09-17,10:17:18
1 Vincent Court,Male,2,Rehab,2024-09-17,10:17:18
15 The Sycamores,Male,2,Rehab,2024-09-17,10:17:18
Cygnet Delfryn Lodge,Female,2,Rehab,2024-09-17,10:17:18
Cygnet Aspen House,Female,2,Rehab,2024-09-17,10:17:18
12 Woodcross Street,Male,1,Rehab,2024-09-17,10:17:18
Cygnet St Teilo House,Female,1,Rehab,2024-09-17,10:17:18
20A and 20B Turls Hill Road,Male,1,Rehab,2024-09-17,10:17:18
Cygnet Hospital Colchester,Male,1,Rehab,2024-09-17,10:17:18
Cygnet Lodge Woking,Male,1,Rehab,2024-09-17,10:17:18
Cygnet Hospital Kewstoke,Female,4,PDU,2024-09-17,10:17:18
Cygnet Hospital Beckton,Female,4,PDU,2024-09-17,10:17:18
Cygnet Hospital Maidstone,Female,3,PDU,2024-09-17,10:17:18
Cygnet Maple House,Female,3,PDU,2024-09-17,10:17:18
Cygnet Hospital Bury,Male,1,PDU,2024-09-17,10:17:18
Cygnet Hospital Clifton,Male,1,PDU,2024-09-17,10:17:18
Cygnet Acer Clinic,Female,1,PDU,2024-09-17,10:17:18
Cygnet Hospital Taunton,Female,4,Acute/PICU,2024-09-17,10:17:18
Cygnet Hospital Taunton,Male,4,Acute/PICU,2024-09-17,10:17:18
Cygnet Hospital Oldbury,Female,4,Acute/PICU,2024-09-17,10:17:18
Cygnet Hospital Oldbury,Female,4,Acute/PICU,2024-09-17,10:17:18
Cygnet Hospital Beckton,Female,3,Acute/PICU,2024-09-17,10:17:18
Cygnet Appletree,Female,3,Acute/PICU,2024-09-17,10:17:18
Cygnet Hospital Wolverhampton,Male,3,Acute/PICU,2024-09-17,10:17:18
Cygnet Hospital Wolverhampton,Male,3,Acute/PICU,2024-09-17,10:17:18
Cygnet Hospital Stevenage,Male,3,Acute/PICU,2024-09-17,10:17:18
Cygnet Hospital Sherwood,Male,2,Acute/PICU,2024-09-17,10:17:18
Cygnet Hospital Wyke,Male,2,Acute/PICU,2024-09-17,10:17:18
Cygnet Hospital Taunton,Male,2,Acute/PICU,2024-09-17,10:17:18
Cygnet Hospital Bierley,Female,2,Acute/PICU,2024-09-17,10:17:18
Cygnet Hospital Kewstoke,Male,2,Acute/PICU,2024-09-17,10:17:18
Cygnet Hospital Godden Green,Female,2,Acute/PICU,2024-09-17,10:17:18
Cygnet Appletree,Female,2,Acute/PICU,2024-09-17,10:17:18
Cygnet Hospital Sherwood,Male,1,Acute/PICU,2024-09-17,10:17:18
Cygnet Hospital Stevenage,Male,1,Acute/PICU,2024-09-17,10:17:18
Cygnet Hospital Bierley,Male,1,Acute/PICU,2024-09-17,10:17:18
Cygnet Hospital Hexham,Female,1,Acute/PICU,2024-09-17,10:17:18
Cygnet Churchill,Male,1,Acute/PICU,2024-09-17,10:17:18
